row_id,set_id,name,product_type,snapshot_date,current_price,most_expensive_card_price,chase_card_count,chase_card_index_score,set_age_years,google_trends_score,print_run_type_encoded,price_trajectory_6mo,price_trajectory_24mo,collector_demand_ratio,market_cycle_score,popularity_score,product_type_encoded,era_encoded,price_momentum_1mo,price_momentum_12mo,price_volatility_6mo,price_volatility_12mo,drawdown_12mo,history_density_12mo,available_provider_count,provider_spread_pct,provider_agreement_score,snapshot_freshness_days,liquidity_proxy_score,history_window_missing_flag,provider_context_missing_flag,price_1yr_later,price_3yr_later,price_5yr_later
fossil:2021-05-01,fossil,Fossil,Booster Box,2021-05-01,5951.37,78.0,3,68.0,21.5578,60.0,2,,,0.74,92.0,68.0,2,3,,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,6542.17,8298.51,11955.27
jungle:2021-05-01,jungle,Jungle,Booster Box,2021-05-01,8300.0,82.0,4,72.0,21.8754,63.0,2,,,0.78,92.0,70.0,2,3,,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,6056.71,7234.66,13453.19
shining-fates:2021-05-01,shining-fates,Shining Fates,ETB,2021-05-01,52.5,100.0,4,76.0,0.1944,67.0,1,,,0.62,92.0,75.0,3,0,,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,39.63,35.0,119.72
team-rocket:2021-05-01,team-rocket,Team Rocket,Booster Box,2021-05-01,12000.0,160.0,4,82.0,21.0185,72.0,2,,,0.84,92.0,80.0,2,3,,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,7600.0,8100.0,9134.44
base-set-unlimited:2021-06-01,base-set-unlimited,Base Set Unlimited,Booster Box,2021-06-01,15520.69,350.0,4,95.0,22.3929,88.0,2,,,0.95,92.0,98.0,2,3,,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,12195.39,11669.0,36228.57
fossil:2021-06-01,fossil,Fossil,Booster Box,2021-06-01,5369.0,78.0,3,68.0,21.6427,60.0,2,,,0.74,92.0,68.0,2,3,-9.785,,,,-9.785,100.0,1.0,,,0.0,53.75,1.0,1.0,6497.7,8252.58,11955.27
jungle:2021-06-01,jungle,Jungle,Booster Box,2021-06-01,8300.0,82.0,4,72.0,21.9603,63.0,2,,,0.78,92.0,70.0,2,3,0.0,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,6000.0,7671.85,13453.19
shining-fates:2021-06-01,shining-fates,Shining Fates,ETB,2021-06-01,60.43,100.0,4,76.0,0.2793,67.0,1,,,0.62,92.0,75.0,3,0,15.105,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,36.0,35.72,119.72
team-rocket:2021-06-01,team-rocket,Team Rocket,Booster Box,2021-06-01,12000.0,160.0,4,82.0,21.1034,72.0,2,,,0.84,92.0,80.0,2,3,0.0,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,6742.85,8100.0,9134.44
xy-evolutions:2021-06-01,xy-evolutions,XY Evolutions,Booster Box,2021-06-01,596.29,75.0,3,78.0,4.5777,76.0,0,,,0.55,92.0,82.0,2,0,,,,,0.0,100.0,1.0,,,0.0,53.75,1.0,1.0,707.5,639.31,2300.0
